WigleWifi-1.4,appRelease=2.26,model=ONEPLUS A3010,release=7.1.1,device=OnePlus3T,display=ONEPLUS A3010_28_171012,board=QC_Reference_Phone,brand=OnePlus
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
8c:0c:90:2f:cc:38,Ariel_University,[ESS],2017-11-01 14:34:54,11,-67,32.10470213,35.20571573,653,4.550999641418457,WIFI
8c:0c:90:2f:d5:68,Ariel_University,[ESS],2017-11-01 14:35:00,6,-78,32.1046803,35.20580453,654,4.550999641418457,WIFI
8c:0c:90:2f:d5:68,Ariel_University,[ESS],2017-11-01 14:35:06,6,-73,32.10468152,35.20590906,655,4.550999641418457,WIFI
24:c9:a1:33:3b:68,Ariel_University,[ESS],2017-11-01 14:35:06,6,-85,32.10468152,35.20590906,655,4.550999641418457,WIFI
e0:10:7f:1e:31:58,Ariel_University,[ESS],2017-11-01 14:35:06,1,-88,32.10468152,35.20590906,655,4.550999641418457,WIFI
e0:10:7f:1a:89:c8,Ariel_University,[ESS],2017-11-01 14:35:06,11,-88,32.10468152,35.20590906,655,4.550999641418457,WIFI
24:c9:a1:35:aa:b8,Ariel_University,[ESS],2017-11-01 14:35:18,10,-77,32.10469539,35.20612805,656,4.550999641418457,WIFI
1c:b9:c4:16:cc:a8,Ariel_University,[ESS],2017-11-01 14:35:18,6,-82,32.10469539,35.20612805,656,4.550999641418457,WIFI
f0:b0:52:3e:d1:38,Ariel_University,[ESS],2017-11-01 14:35:18,6,-86,32.10469539,35.20612805,656,4.550999641418457,WIFI
f0:b0:52:3e:c8:58,Ariel_University,[ESS],2017-11-01 14:35:18,6,-87,32.10469539,35.20612805,656,4.550999641418457,WIFI
8c:0c:90:b0:04:c3,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:35:20,2,-76,32.10469631,35.2061643,657,4.550999641418457,WIFI
8c:0c:90:30:04:c8,Ariel_University,[ESS],2017-11-01 14:35:20,2,-75,32.10469631,35.2061643,657,4.550999641418457,WIFI
f0:b0:52:3e:c7:b8,Ariel_University,[ESS],2017-11-01 14:35:20,1,-83,32.10469631,35.2061643,657,4.550999641418457,WIFI
ec:8c:a2:26:d2:98,Ariel_University,[ESS],2017-11-01 14:35:20,11,-87,32.10469631,35.2061643,657,4.550999641418457,WIFI
f0:b0:52:3e:c8:58,Ariel_University,[ESS],2017-11-01 14:35:35,6,-80,32.10468739,35.20644914,663,7.585000038146973,WIFI
ec:8c:a2:08:aa:dc,Ariel_University,[ESS],2017-11-01 14:35:35,36,-81,32.10468739,35.20644914,663,7.585000038146973,WIFI
f0:b0:52:3e:c8:5c,Ariel_University,[ESS],2017-11-01 14:35:35,44,-84,32.10468739,35.20644914,663,7.585000038146973,WIFI
ec:8c:a2:08:a2:4c,Ariel_University,[ESS],2017-11-01 14:35:35,36,-88,32.10468739,35.20644914,663,7.585000038146973,WIFI
ec:8c:a2:08:95:8c,Ariel_University,[ESS],2017-11-01 14:35:35,52,-90,32.10468739,35.20644914,663,7.585000038146973,WIFI
f0:b0:52:3e:cc:1c,Ariel_University,[ESS],2017-11-01 14:35:35,36,-90,32.10468739,35.20644914,663,7.585000038146973,WIFI
1c:b9:c4:15:33:dc,Ariel_University,[ESS],2017-11-01 14:35:35,36,-91,32.10468739,35.20644914,663,7.585000038146973,WIFI
ec:8c:a2:08:aa:d8,Ariel_University,[ESS],2017-11-01 14:35:35,6,-84,32.10468739,35.20644914,663,7.585000038146973,WIFI
1c:b9:c4:16:cc:ac,Ariel_University,[ESS],2017-11-01 14:35:46,44,-82,32.10461387,35.20661521,667,4.550999641418457,WIFI
f0:b0:52:3e:c8:ec,Ariel_University,[ESS],2017-11-01 14:35:46,52,-88,32.10461387,35.20661521,667,4.550999641418457,WIFI
ec:8c:a2:08:a2:48,Ariel_University,[ESS],2017-11-01 14:35:46,6,-82,32.10461387,35.20661521,667,4.550999641418457,WIFI
f0:b0:52:3e:c7:a8,Ariel_University,[ESS],2017-11-01 14:35:46,11,-89,32.10461387,35.20661521,667,4.550999641418457,WIFI
42503_6701_4464091,Rami Levy,HSPA;il,2017-11-01 14:35:46,0,-79,32.10461387,35.20661521,667,4.550999641418457,GSM
ec:8c:a2:08:a2:4c,Ariel_University,[ESS],2017-11-01 14:35:55,36,-83,32.10448628,35.20662977,669,4.550999641418457,WIFI
ec:8c:a2:08:a2:48,Ariel_University,[ESS],2017-11-01 14:35:55,6,-72,32.10448628,35.20662977,669,4.550999641418457,WIFI
f0:b0:52:3e:d0:98,Ariel_University,[ESS],2017-11-01 14:35:55,1,-77,32.10448628,35.20662977,669,4.550999641418457,WIFI
1c:b9:c4:15:44:3c,Ariel_University,[ESS],2017-11-01 14:35:55,36,-87,32.10448628,35.20662977,669,4.550999641418457,WIFI
1c:b9:c4:15:44:38,Ariel_University,[ESS],2017-11-01 14:35:55,11,-85,32.10448628,35.20662977,669,4.550999641418457,WIFI
1c:b9:c4:15:41:f8,Ariel_University,[ESS],2017-11-01 14:35:55,1,-88,32.10448628,35.20662977,669,4.550999641418457,WIFI
f0:b0:52:3e:d8:98,Ariel_University,[ESS],2017-11-01 14:35:55,1,-89,32.10448628,35.20662977,669,4.550999641418457,WIFI
ec:8c:a2:08:a2:4c,Ariel_University,[ESS],2017-11-01 14:36:05,36,-71,32.1043796,35.20672806,671,4.550999641418457,WIFI
f0:b0:52:3e:c7:a8,Ariel_University,[ESS],2017-11-01 14:36:05,11,-80,32.1043796,35.20672806,671,4.550999641418457,WIFI
1c:b9:c4:15:44:3c,Ariel_University,[ESS],2017-11-01 14:36:05,36,-79,32.1043796,35.20672806,671,4.550999641418457,WIFI
f0:b0:52:be:c7:a7,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:36:05,52,-78,32.1043796,35.20672806,671,4.550999641418457,WIFI
ec:8c:a2:88:95:87,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:36:05,52,-87,32.1043796,35.20672806,671,4.550999641418457,WIFI
1c:b9:c4:95:41:f7,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:36:05,44,-87,32.1043796,35.20672806,671,4.550999641418457,WIFI
f0:b0:52:3e:c7:ac,Ariel_University,[ESS],2017-11-01 14:36:05,52,-75,32.1043796,35.20672806,671,4.550999641418457,WIFI
1c:b9:c4:16:ed:fc,Ariel_University,[ESS],2017-11-01 14:36:05,36,-85,32.1043796,35.20672806,671,4.550999641418457,WIFI
8c:0c:90:2f:cb:d8,Ariel_University,[ESS],2017-11-01 14:36:05,6,-78,32.1043796,35.20672806,671,4.550999641418457,WIFI
ec:8c:a2:09:8c:6c,Ariel_University,[ESS],2017-11-01 14:36:05,36,-88,32.1043796,35.20672806,671,4.550999641418457,WIFI
1c:b9:c4:15:41:fc,Ariel_University,[ESS],2017-11-01 14:36:05,44,-90,32.1043796,35.20672806,671,4.550999641418457,WIFI
ec:8c:a2:08:95:88,Ariel_University,[ESS],2017-11-01 14:36:05,1,-85,32.1043796,35.20672806,671,4.550999641418457,WIFI
f8:d1:11:77:77:d6,masa2,[ESS],2017-11-01 14:36:05,6,-89,32.1043796,35.20672806,671,4.550999641418457,WIFI
ec:8c:a2:09:8c:68,Ariel_University,[ESS],2017-11-01 14:36:05,1,-90,32.1043796,35.20672806,671,4.550999641418457,WIFI
ec:8c:a2:08:95:8c,Ariel_University,[ESS],2017-11-01 14:36:16,52,-82,32.1043794,35.20688328,671,4.550999641418457,WIFI
